number,old_filename,new_filename,old_path,new_path,applied_at
29,I1_1.jpg,I1_1-karthik-raghava-kk-64-bar-1-founders.jpg,/Users/raghavakalyanaraman/Downloads/images for website/I1_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/I1_1-karthik-raghava-kk-64-bar-1-founders.jpg,2026-05-11T11:46:32
34,I_2.jpg,I_2-fareed-belkahia-raja-marrakech-morocco.jpg,/Users/raghavakalyanaraman/Downloads/images for website/I_2.jpg,/Users/raghavakalyanaraman/Downloads/images for website/I_2-fareed-belkahia-raja-marrakech-morocco.jpg,2026-05-11T11:46:32
35,I_3.jpg,I_3-ravage-fashion-collaboration-bangalore-palace-london-fashion-week.jpg,/Users/raghavakalyanaraman/Downloads/images for website/I_3.jpg,/Users/raghavakalyanaraman/Downloads/images for website/I_3-ravage-fashion-collaboration-bangalore-palace-london-fashion-week.jpg,2026-05-11T11:46:32
36,II_1.jpg,II_1-nature-morte-gradient-descent-exhibition-01.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_1-nature-morte-gradient-descent-exhibition-01.jpg,2026-05-11T11:46:32
37,II_2.jpg,II_2-nature-morte-gradient-descent-exhibition-02.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_2.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_2-nature-morte-gradient-descent-exhibition-02.jpg,2026-05-11T11:46:32
38,II_3.jpg,II_3-nature-morte-gradient-descent-exhibition-03.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_3.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_3-nature-morte-gradient-descent-exhibition-03.jpg,2026-05-11T11:46:32
39,II_4.jpg,II_4-nature-morte-gradient-descent-exhibition-04.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_4.jpg,/Users/raghavakalyanaraman/Downloads/images for website/II_4-nature-morte-gradient-descent-exhibition-04.jpg,2026-05-11T11:46:32
40,III_4.jpeg,III_4-eye-candy-01.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/III_4.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/III_4-eye-candy-01.jpeg,2026-05-11T11:46:32
41,III_5.jpg,III_5-eye-candy-02.jpg,/Users/raghavakalyanaraman/Downloads/images for website/III_5.jpg,/Users/raghavakalyanaraman/Downloads/images for website/III_5-eye-candy-02.jpg,2026-05-11T11:46:32
42,III_9.png,III_9-eye-candy-03.png,/Users/raghavakalyanaraman/Downloads/images for website/III_9.png,/Users/raghavakalyanaraman/Downloads/images for website/III_9-eye-candy-03.png,2026-05-11T11:46:32
43,IV_1.png,IV_1-organism-project-01.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_1.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_1-organism-project-01.png,2026-05-11T11:46:32
44,IV_13.jpeg,IV_13-organism-project-02.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/IV_13.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/IV_13-organism-project-02.jpeg,2026-05-11T11:46:32
45,IV_13.png,IV_13-organism-project-03.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_13.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_13-organism-project-03.png,2026-05-11T11:46:32
46,IV_3.jpeg,IV_3-organism-project-04.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/IV_3.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/IV_3-organism-project-04.jpeg,2026-05-11T11:46:32
47,IV_4.jpeg,IV_4-organism-project-05.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/IV_4.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/IV_4-organism-project-05.jpeg,2026-05-11T11:46:32
48,IV_5.png,IV_5-organism-project-06.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_5.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_5-organism-project-06.png,2026-05-11T11:46:32
49,IV_6.png,IV_6-organism-project-07.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_6.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_6-organism-project-07.png,2026-05-11T11:46:32
50,IV_7.png,IV_7-organism-project-08.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_7.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_7-organism-project-08.png,2026-05-11T11:46:32
51,IV_8.png,IV_8-organism-project-09.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_8.png,/Users/raghavakalyanaraman/Downloads/images for website/IV_8-organism-project-09.png,2026-05-11T11:46:32
52,IX_1.png,IX_1-impossible-bouquet.png,/Users/raghavakalyanaraman/Downloads/images for website/IX_1.png,/Users/raghavakalyanaraman/Downloads/images for website/IX_1-impossible-bouquet.png,2026-05-11T11:46:32
54,K_1(1).jpg,K_1(1)-raghava-kk-shabana-azmi-milind-nayak-set-a-child-free-exhibition-october-2000.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_1(1).jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_1(1)-raghava-kk-shabana-azmi-milind-nayak-set-a-child-free-exhibition-october-2000.jpg,2026-05-11T11:46:32
55,K_1.jpg,K_1-raghava-kk-netra-auto-wedding-arrival.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_1-raghava-kk-netra-auto-wedding-arrival.jpg,2026-05-11T11:46:32
56,K_2.jpeg,K_2-raghava-kk-madhuri-dixit-shriram-nene.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/K_2.jpeg,/Users/raghavakalyanaraman/Downloads/images for website/K_2-raghava-kk-madhuri-dixit-shriram-nene.jpeg,2026-05-11T11:46:32
57,K_3.jpg,K_3-raghava-kk-wedding-poster.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_3.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_3-raghava-kk-wedding-poster.jpg,2026-05-11T11:46:32
58,K_3.png,K_3-raghava-kk-celebrity-collectors.png,/Users/raghavakalyanaraman/Downloads/images for website/K_3.png,/Users/raghavakalyanaraman/Downloads/images for website/K_3-raghava-kk-celebrity-collectors.png,2026-05-11T11:46:32
59,K_4.jpg,K_4-raghava-kk-with-paul-simon.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_4.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_4-raghava-kk-with-paul-simon.jpg,2026-05-11T11:46:32
60,K_5.jpg,K_5-amitabh-bachchan-collects-raghava-kk-work.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_5.jpg,/Users/raghavakalyanaraman/Downloads/images for website/K_5-amitabh-bachchan-collects-raghava-kk-work.jpg,2026-05-11T11:46:32
61,K_6.png,K_6-raghava-kk-wedding-sridevi-family.png,/Users/raghavakalyanaraman/Downloads/images for website/K_6.png,/Users/raghavakalyanaraman/Downloads/images for website/K_6-raghava-kk-wedding-sridevi-family.png,2026-05-11T11:46:32
62,L_1.jpg,L_1-not-another-wedding-goa-exhibition.jpg,/Users/raghavakalyanaraman/Downloads/images for website/L_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/L_1-not-another-wedding-goa-exhibition.jpg,2026-05-11T11:46:32
63,M_10.jpg,M_10-brooklyn-bound-r-train-art-musings-exhibition-01.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_10.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_10-brooklyn-bound-r-train-art-musings-exhibition-01.jpg,2026-05-11T11:46:32
64,M_11.jpg,M_11-brooklyn-bound-r-train-art-musings-exhibition-02.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_11.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_11-brooklyn-bound-r-train-art-musings-exhibition-02.jpg,2026-05-11T11:46:32
65,M_12.jpg,M_12-brooklyn-bound-r-train-art-musings-exhibition-03.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_12.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_12-brooklyn-bound-r-train-art-musings-exhibition-03.jpg,2026-05-11T11:46:32
70,M_7.jpg,M_7-drawn-and-quartered-art-musings-exhibition-01.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_7.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_7-drawn-and-quartered-art-musings-exhibition-01.jpg,2026-05-11T11:46:32
71,M_8.jpg,M_8-drawn-and-quartered-art-musings-exhibition-02.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_8.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_8-drawn-and-quartered-art-musings-exhibition-02.jpg,2026-05-11T11:46:32
72,M_9.jpg,M_9-drawn-and-quartered-art-musings-exhibition-03.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_9.jpg,/Users/raghavakalyanaraman/Downloads/images for website/M_9-drawn-and-quartered-art-musings-exhibition-03.jpg,2026-05-11T11:46:32
73,O_2.png,O_2-obama-hope-campaign-artwork.png,/Users/raghavakalyanaraman/Downloads/images for website/O_2.png,/Users/raghavakalyanaraman/Downloads/images for website/O_2-obama-hope-campaign-artwork.png,2026-05-11T11:46:32
74,P_1.jpg,P_1-private-space-public-space-dumbo-new-york-2010.jpg,/Users/raghavakalyanaraman/Downloads/images for website/P_1.jpg,/Users/raghavakalyanaraman/Downloads/images for website/P_1-private-space-public-space-dumbo-new-york-2010.jpg,2026-05-11T11:46:32
